name	output
South_Africa	[1.9222434041318066,0.06529196962102342,-2.3114680343487857]
USA	[4.063808026088261,-1.1468832476379656,1.862388326361058]
Japan	[-4.215546325175926,-2.975479925729584,0.8159419709451458]
Bahrain	[-4.278143142634316,-2.7603008009545866,0.6772663952285602]
USA	[-3.8746851526725474,-2.8704236404878345,0.6390180940930529]
Brazil	[4.092334071422996,-1.0076211749353459,2.0754563583155248]
Bahrain	[-3.8985331597955546,-2.908172621294996,0.6396500515172279]
USA	[-2.889835810925639,3.4002654363031204,1.5001644440925723]
USA	[4.0753906141071425,-1.1492614337006415,1.8741129204241644]
Brazil	[1.0362299233126888,0.38111228636697253,-3.3862993440953]
USA	[1.9243962394992247,0.072723761104927,-2.313945784708168]
Japan	[-4.230634044946326,-2.696929805006589,0.6742103859360153]
Italy	[1.938546890172032,0.05995784050109666,-2.331670235939727]
Japan	[-4.2220258992131985,-2.682286533011481,0.670998059564446]
France	[4.056922250749177,-1.14424604603132,1.8524062120894444]
USA	[-3.84948156652143,-2.828808983911667,0.6394641352208226]
Brazil	[1.0351851578427298,0.3810597704745838,-3.397428009687337]
Mexico	[3.4443366419574546,-0.8553746924112615,0.18793662195089159]
Brazil	[4.056453150264019,-0.9924796471054886,1.9293737808114626]
Malawi	[-2.8095779902143407,3.1469657364871595,1.3871332550962145]
USA	[-3.0282676892366887,2.8081066915027075,1.6442138135852498]
USA	[-4.1844966678005475,-3.0752100048949096,0.7856618154611796]
Brazil	[1.3038417506436912,0.048315761987322195,-2.3832227558857833]
USA	[-4.319442141791192,-3.0534968620895926,0.8623000945915764]
France	[1.8273555024336492,0.11590018958290874,-2.5064005883926734]
Bahrain	[-4.274549652329659,-2.755063094899666,0.6771428137472832]
USA	[1.9497633763857172,0.09484759240335082,-2.5142910796946984]
USA	[1.3030176086259264,0.11389594936846818,-1.6131020002115593]
USA	[-4.317745612316421,-3.0501721284582626,0.8122101248612644]
USA	[-2.889913355792869,3.3989260140394664,1.4998036424841223]
Djibouti	[-4.318694423567544,-3.0540703233042352,0.8637380692306134]
USA	[-4.2053211526907965,-3.1168227816784166,0.7666743433925898]
USA	[-2.827253425162404,3.2076728503918863,1.40869282852807]
France	[1.8246698175509903,0.117655793000607,-2.519323127609325]
Brazil	[4.093232021332653,-1.003135395607763,2.0694881074393043]
France	[1.9186337381643628,0.06643242223475014,-2.2658476331591126]
USA	[-3.8462162900565686,-2.8222302945747963,0.6383858222472453]
Viet_Nam	[-4.2803610681590465,-2.7697113108646603,0.682868658504479]
USA	[1.9221874682466757,0.0691273157203363,-2.2928491310386354]
Brazil	[4.086823368295721,-1.0009701925645387,2.0579279277141223]
USA	[-4.276860517945907,-2.7592420155626463,0.6742392541263047]
USA	[4.030399938473821,-0.8332949567577103,2.1024688337931297]
USA	[-2.87591135719742,3.3486893592610394,1.4782097259968277]
USA	[-4.284251259342879,-2.7702745059165617,0.6788965300030732]
USA	[1.9290665739233925,0.07160487732983876,-2.342837244138402]
USA	[1.9332254151707449,0.07402440887383362,-2.3508806623446765]
USA	[1.9319250105124337,0.07179609670390351,-2.3494653652667945]
USA	[-4.320438371108538,-3.0579054909710868,0.8625491630231403]
Viet_Nam	[-4.2943199923919355,-2.78922339694965,0.6754954147003568]
USA	[4.074597956007024,-1.1487633646727229,1.878838693179059]
USA	[-4.208874366835273,-3.1216107278587657,0.7663012653025872]
Japan	[-2.8856174122071874,3.385267471075803,1.4949145844946135]
Brazil	[4.095321770353137,-1.006608483311377,2.0694673271456034]
Brazil	[3.951319437194552,-1.1058798608356888,1.7143751538002334]
Brazil	[4.085079355519437,-1.0003074806473142,2.054937245581054]
USA	[4.056794333097811,-1.1225454429113628,1.8063406968524975]
USA	[-2.889913355792869,3.3989260140394664,1.4998036424841223]
USA	[-2.877632904020584,3.356515868137703,1.4810648733883356]
Bahrain	[-4.050679025794975,-2.635624727459217,0.5903747277556174]
Japan	[4.050251078801385,-0.9909085799138398,1.9798629319651806]
USA	[4.066512842105289,-1.14619545790892,1.8680396218290711]
USA	[-3.8850670096632,-2.886801225470823,0.6410718137809128]
USA	[-2.891565061981046,3.4048782388927887,1.502378225692286]
Viet_Nam	[3.428555178109734,-0.852895408719013,0.2108302273218104]
USA	[-2.876912709751271,3.354683023325421,1.4785230399758746]
Japan	[-2.882487335900756,3.3722040263398667,1.488275906182114]
USA	[1.9270118131251655,0.07357785284086259,-2.3260610427372463]
USA	[1.9221312937385093,0.06869657013687568,-2.2969866613896577]
USA	[-4.288856500883374,-2.7783010559706867,0.6788679560207729]
Brazil	[0.9900199803002768,0.3028031276356643,-3.391369824250295]
USA	[-2.8903261056630596,3.40041235684649,1.5004458989124982]
South_Africa	[4.035935112708085,-1.132646720818623,1.8204541537582388]
Mexico	[4.03777497827246,-0.98556221621791,1.958706824156497]
USA	[4.066035296089335,-1.1497322533151313,1.870729504995011]
France	[3.937142711015261,-1.1317618108315204,1.9619539023849606]
USA	[1.9563144308928684,0.09781978901515752,-2.5327001243886267]
USA	[-2.891004797379516,3.4037174911617343,1.498854473035259]
Thailand	[4.036710464475502,-0.9948846507397735,1.9683564474438835]
Bahrain	[-2.874657874715842,3.3526398129852315,1.4814117506664788]
USA	[1.9539093298965715,0.0975555841620489,-2.543766221918683]
Bahrain	[-3.896306438466904,-2.9044335696604593,0.6395565949895154]
USA	[-4.3218872410604945,-3.059068783934501,0.8674919507716665]
Japan	[-2.8527047852891445,3.2670646181614145,1.4442657308728561]
Brazil	[4.033889427065613,-0.8332222610693744,2.1087557692077765]
USA	[3.822694293411971,-1.0780634535111313,1.7256099453952383]
USA	[-2.877143967435548,3.3530939242861115,1.4800925922290207]
Viet_Nam	[-3.897419481416517,-2.9063016587264783,0.6396032558628235]
Brazil	[1.0140513740885333,0.36202217698516814,-3.184615195649833]
USA	[-2.9280598073023087,3.2729291384512926,1.4907311330985504]
USA	[-3.846339992252437,-2.8232615579661733,0.6381612693125045]
USA	[4.058612878274721,-1.1390748052260087,1.828823015683601]
Djibouti	[4.040224025195952,-0.8375754886152436,2.119782145538138]
USA	[-4.208273482912907,-3.1205952431393276,0.76618602567215]
Bahrain	[-4.225760784827713,-2.680172338625328,0.669419748008782]
France	[1.9376808346332437,0.07604816575755946,-2.380622309012794]
Viet_Nam	[3.4182382187991314,-0.8504111798585994,0.21954809952308302]
Mongolia	[4.0326335446134935,-0.9859935869472604,1.9558927341450267]
Viet_Nam	[-3.8741326955303306,-2.8707618995097386,0.6396228989034669]
Viet_Nam	[3.426874110131531,-0.8521032890555227,0.20988475146937052]
USA	[-2.8102385862215797,3.1486692484547496,1.3843281174761213]
USA	[-4.331984290314847,-3.0736067597188503,0.8648099289983497]
Uganda	[3.921472771684597,-1.088538786556747,1.6691780814456472]
USA	[-2.827659250176678,3.203986813617618,1.411235873424968]
Mongolia	[3.379782036543247,-0.8357092571046997,0.25113521556455515]
USA	[4.044307765175643,-1.1757694056451127,1.8661335833219275]
USA	[-4.2616228890009715,-3.0386550171754845,0.8200401490207625]
Mexico	[4.035939787800272,-0.9910163787285933,1.9592400065332183]
USA	[3.3682306233039965,-0.8323604431348677,0.25972011417538826]
USA	[4.026525008697321,-0.9907773679051474,1.9584884397691371]
USA	[-2.8769792844259596,3.3543674158610464,1.4816958591394638]
Brazil	[3.9399924758689706,-0.9781162741761941,2.116228393880817]
USA	[-2.8273359445228463,3.203649066985303,1.4098047629047012]
Brazil	[4.087931034958562,-0.9984328208973479,2.058805116154581]
USA	[4.0612832830169445,-1.147241336349169,1.8613747766380453]
France	[-2.811357898549872,3.151346256420585,1.387849336213858]
USA	[-2.8901696680976396,3.4006744197904992,1.498525296909479]
USA	[4.065797524715705,-1.1444774600225505,1.8650070981696463]
USA	[-4.274549652329659,-2.7550630948996666,0.6771428137472834]
USA	[-2.8903261056630596,3.40041235684649,1.5004458989124982]
USA	[-3.8471894659031896,-2.828927630399359,0.637862073354326]
USA	[-2.490555743317774,2.955863095106293,1.164256265168908]
USA	[-2.8496520286052913,3.252666631290213,1.439362643468062]
Malaysia	[4.0425270577216335,-1.1322394866201897,1.8051047108406861]
USA	[-2.888868897183236,3.3989938841713427,1.5042059408863682]
Brazil	[3.986603914529193,-0.9629713108858545,1.923753244907946]
USA	[-3.8928747077457526,-2.7276469842002475,0.687116268341577]
USA	[-3.9028076826683993,-2.894787936106386,0.44600800623806636]
USA	[-2.8781025769155946,3.3536716313708994,1.48074359694149]
France	[1.8296786903463618,0.11890071793526916,-2.538042386412797]
USA	[4.062686663894759,-1.1427409060112435,1.8584150702001947]
USA	[3.97014572086589,-1.2860192268718644,1.8902285374609993]
Japan	[1.3892696188191167,0.1778578566770027,-2.2801725208229198]
Brazil	[4.041179088846363,-0.9853137771666494,1.9791436735397046]
USA	[-2.8279309208621095,3.2088794246190036,1.4113561618923596]
Brazil	[4.105092027163188,-1.007499983200904,2.0602014504189916]
Mexico	[3.441834418937783,-0.8564353672390188,0.21603913274281872]
USA	[4.068294716078066,-1.1461871908373822,1.8621300013518371]
USA	[3.2831796868875447,-0.8346218051581041,0.3013551452193401]
France	[3.961931976191206,-1.30509581601082,1.8705030735220023]
Mexico	[4.031802934577649,-0.9902561230290154,1.9557408528257616]
Brazil	[4.043597891594753,-1.0681193640370232,2.0666352132657853]
Mexico	[4.03547314667674,-0.9847765135047226,1.9548218828821997]
Mongolia	[3.3832250181075127,-0.8386467284095944,0.2631430295664943]
USA	[4.056987228468542,-1.1298879653188647,1.8663062112129138]
USA	[-4.297504868854463,-2.7923748343859063,0.6811631339180293]
USA	[-3.8962438666189487,-2.907944078036366,0.642416152356821]
France	[-4.277593851643506,-2.759413814801911,0.6773950596196325]
USA	[-3.8473185727458827,-2.825256565514938,0.6392604865012793]
USA	[-2.8907389732842175,3.401899841047211,1.5010890802560906]
Bangladesh	[-3.9789953153320803,-2.7681709460119728,0.31694377143306984]
Uganda	[4.034353376667854,-1.1309663476690905,1.8190685982879569]
USA	[-3.8825312473000833,-2.8851539099292958,0.6404861476461875]
France	[4.051730009264744,-1.1392166688072511,1.8408172539857104]
USA	[-2.871565700762244,3.368370510171508,1.4507320324640638]
USA	[4.060774546452197,-1.1330515217120585,1.8713681351258051]
Bahrain	[-4.145761345013438,-2.7852897485889274,0.600328821769958]
USA	[4.035928333494146,-0.8362780792353386,2.1093671368177227]
USA	[1.955591567630122,0.09614329779312324,-2.529735837902807]
USA	[1.9505978885318658,0.09379339721541645,-2.5240293426744373]
Brazil	[1.0363717457735881,0.37986936115555975,-3.3767371826573553]
USA	[1.9268200782383964,0.07297260992124509,-2.3330386443153945]
USA	[-1.3024259246340748,2.2716951982420928,0.6624060194224712]
USA	[-1.120646650376841,2.101008361353478,0.521225240032678]
Brazil	[4.09615077832276,-1.0041531625023226,2.0747796222006594]
USA	[-2.876732980141479,3.351624608491916,1.4794640663113752]
Viet_Nam	[-4.191837608804982,-2.685956557746465,0.880528728406772]
Mexico	[3.435272889024262,-0.8557910938026569,0.21323092392985837]
USA	[-3.8496637099600366,-2.824144365565643,0.6425266824209411]
Viet_Nam	[3.427991061713958,-0.8547280172975834,0.20891413996745561]
USA	[4.068656736070842,-1.1463054590495667,1.8651610228955358]
Brazil	[1.0399024200289253,0.3816721140633197,-3.3826436521984973]
USA	[4.061553776864868,-1.1449692205092745,1.8487454349441317]
Mexico	[3.5328436613989385,-0.8930950257927378,0.37047071637436496]
France	[1.821904336362127,0.11745441031773732,-2.51303776076365]
USA	[-4.338890838123048,-2.690778002024665,0.7333035365357974]
Mexico	[3.431427400628215,-0.8529270466602747,0.2044482783631299]
Bahrain	[-4.157904630668782,-2.806649240403131,0.6038495595417127]
